Number of Bending,ZTO,Ag,Cu,Storage time,Square resistance
0,40,12,0,0,8.683
10,40,12,0,0,8.6507
20,40,12,0,0,8.6184
30,40,12,0,0,8.5861
40,40,12,0,0,8.5538
50,40,12,0,0,8.5215
60,40,12,0,0,8.4892
70,40,12,0,0,8.4569
80,40,12,0,0,8.4246
90,40,12,0,0,8.3923
100,40,12,0,0,8.36
110,40,12,0,0,8.4138
120,40,12,0,0,8.4676
130,40,12,0,0,8.5214
140,40,12,0,0,8.5752
150,40,12,0,0,8.629
160,40,12,0,0,8.6828
170,40,12,0,0,8.7366
180,40,12,0,0,8.7904
190,40,12,0,0,8.8442
200,40,12,0,0,8.898
210,40,12,0,0,8.9492
220,40,12,0,0,9.0004
230,40,12,0,0,9.0516
240,40,12,0,0,9.1028
250,40,12,0,0,9.154
260,40,12,0,0,9.2052
270,40,12,0,0,9.2564
280,40,12,0,0,9.3076
290,40,12,0,0,9.3588
300,40,12,0,0,9.41
310,40,12,0,0,9.4726
320,40,12,0,0,9.5352
330,40,12,0,0,9.5978
340,40,12,0,0,9.6604
350,40,12,0,0,9.723
360,40,12,0,0,9.7856
370,40,12,0,0,9.8482
380,40,12,0,0,9.9108
390,40,12,0,0,9.9734
400,40,12,0,0,10.036
410,40,12,0,0,10.0881
420,40,12,0,0,10.1402
430,40,12,0,0,10.1923
440,40,12,0,0,10.2444
450,40,12,0,0,10.2965
460,40,12,0,0,10.3486
470,40,12,0,0,10.4007
480,40,12,0,0,10.4528
490,40,12,0,0,10.5049
500,40,12,0,0,10.557
510,40,12,0,0,10.4722
520,40,12,0,0,10.3874
530,40,12,0,0,10.3026
540,40,12,0,0,10.2178
550,40,12,0,0,10.133
560,40,12,0,0,10.0482
570,40,12,0,0,9.9634
580,40,12,0,0,9.8786
590,40,12,0,0,9.7938
600,40,12,0,0,9.709
0,30,12,0,0,7.975
10,30,12,0,0,7.9968
20,30,12,0,0,8.0186
30,30,12,0,0,8.0404
40,30,12,0,0,8.0622
50,30,12,0,0,8.084
60,30,12,0,0,8.1058
70,30,12,0,0,8.1276
80,30,12,0,0,8.1494
90,30,12,0,0,8.1712
100,30,12,0,0,8.193
110,30,12,0,0,8.2081
120,30,12,0,0,8.2232
130,30,12,0,0,8.2383
140,30,12,0,0,8.2534
150,30,12,0,0,8.2685
160,30,12,0,0,8.2836
170,30,12,0,0,8.2987
180,30,12,0,0,8.3138
190,30,12,0,0,8.3289
200,30,12,0,0,8.344
210,30,12,0,0,8.3637
220,30,12,0,0,8.3834
230,30,12,0,0,8.4031
240,30,12,0,0,8.4228
250,30,12,0,0,8.4425
260,30,12,0,0,8.4622
270,30,12,0,0,8.4819
280,30,12,0,0,8.5016
290,30,12,0,0,8.5213
300,30,12,0,0,8.541
310,30,12,0,0,8.5797
320,30,12,0,0,8.6184
330,30,12,0,0,8.6571
340,30,12,0,0,8.6958
350,30,12,0,0,8.7345
360,30,12,0,0,8.7732
370,30,12,0,0,8.8119
380,30,12,0,0,8.8506
390,30,12,0,0,8.8893
400,30,12,0,0,8.928
410,30,12,0,0,9.0303
420,30,12,0,0,9.1326
430,30,12,0,0,9.2349
440,30,12,0,0,9.3372
450,30,12,0,0,9.4395
460,30,12,0,0,9.5418
470,30,12,0,0,9.6441
480,30,12,0,0,9.7464
490,30,12,0,0,9.8487
500,30,12,0,0,9.951
510,30,12,0,0,10.1614
520,30,12,0,0,10.3718
530,30,12,0,0,10.5822
540,30,12,0,0,10.7926
550,30,12,0,0,11.003
560,30,12,0,0,11.2134
570,30,12,0,0,11.4238
580,30,12,0,0,11.6342
590,30,12,0,0,11.8446
600,30,12,0,0,12.055
0,20,12,0,0,9.683
10,20,12,0,0,9.7026
20,20,12,0,0,9.7222
30,20,12,0,0,9.7418
40,20,12,0,0,9.7614
50,20,12,0,0,9.781
60,20,12,0,0,9.8006
70,20,12,0,0,9.8202
80,20,12,0,0,9.8398
90,20,12,0,0,9.8594
100,20,12,0,0,9.879
110,20,12,0,0,9.8853
120,20,12,0,0,9.8916
130,20,12,0,0,9.8979
140,20,12,0,0,9.9042
150,20,12,0,0,9.9105
160,20,12,0,0,9.9168
170,20,12,0,0,9.9231
180,20,12,0,0,9.9294
190,20,12,0,0,9.9357
200,20,12,0,0,9.942
210,20,12,0,0,9.9866
220,20,12,0,0,10.0312
230,20,12,0,0,10.0758
240,20,12,0,0,10.1204
250,20,12,0,0,10.165
260,20,12,0,0,10.2096
270,20,12,0,0,10.2542
280,20,12,0,0,10.2988
290,20,12,0,0,10.3434
300,20,12,0,0,10.388
310,20,12,0,0,10.4385
320,20,12,0,0,10.489
330,20,12,0,0,10.5395
340,20,12,0,0,10.59
350,20,12,0,0,10.6405
360,20,12,0,0,10.691
370,20,12,0,0,10.7415
380,20,12,0,0,10.792
390,20,12,0,0,10.8425
400,20,12,0,0,10.893
410,20,12,0,0,10.9803
420,20,12,0,0,11.0676
430,20,12,0,0,11.1549
440,20,12,0,0,11.2422
450,20,12,0,0,11.3295
460,20,12,0,0,11.4168
470,20,12,0,0,11.5041
480,20,12,0,0,11.5914
490,20,12,0,0,11.6787
500,20,12,0,0,11.766
510,20,12,0,0,11.8894
520,20,12,0,0,12.0128
530,20,12,0,0,12.1362
540,20,12,0,0,12.2596
550,20,12,0,0,12.383
560,20,12,0,0,12.5064
570,20,12,0,0,12.6298
